TIME_DIFF gps_utc=1784895776 laptop_utc=1784895778
TIME_DIFF gps_utc=1784895778 laptop_utc=1784895781
TIME_DIFF gps_utc=1784895781 laptop_utc=1784895783
TIME_DIFF gps_utc=1784895783 laptop_utc=1784895786
TIME_DIFF gps_utc=1784895786 laptop_utc=1784895788
TIME_DIFF gps_utc=1784895788 laptop_utc=1784895791
TIME_SYNCED utc=1784895791 offset=1784895670
TIME_DIFF gps_utc=1784895791 laptop_utc=1784895793
TIME_DIFF gps_utc=1784895793 laptop_utc=1784895796
TIME_DIFF gps_utc=1784895796 laptop_utc=1784895798
TIME_DIFF gps_utc=1784895798 laptop_utc=1784895801
TIME_DIFF gps_utc=1784895801 laptop_utc=1784895803
PHASE_RESULT 9 LF-LoRa-SF12 rx=19 unique=19 lost=1 per=5.0 rssi_avg=-23 rssi_min=-32 crc_err=0 tx_lat=32.63919 tx_lon=-16.94653 sats=8 fix=1 utc=1784895801
PHASE_GUARD 500
PHASE_START 10 LF-FLRC-2600
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
FLRC_RAW32: 165 90 66 36 0 88 116 19 16 42 230 245 7 0 1 60 89 99 106 10 0 10 179 178 189 188 191 190 185 184 187 186
PKT rx=1 seq=10 rssi=-41 phase=10 rx_ms=134169 tx_lat=32.63918 tx_lon=-16.94653 sats=7 fix=1 utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
PKT rx=2 seq=11 rssi=-41 phase=10 rx_ms=134199 tx_lat=32.63918 tx_lon=-16.94653 sats=7 fix=1 utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
PKT rx=3 seq=12 rssi=-41 phase=10 rx_ms=134239 tx_lat=32.63918 tx_lon=-16.94653 sats=7 fix=1 utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895804 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895804
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895805 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895805
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
TIME_DIFF gps_utc=1784895806 laptop_utc=1784895806
